PM2.5,PM10,NO2,SO2,CO,O3,no,nh3,aqi_value
8.34,11.07,51.41,10.01,397.21,19.85,1.73,0.75,56
10.16,13.42,52.09,9.54,407.22,17.17,1.79,1.02,82
11.0,14.66,51.41,9.18,410.56,15.2,1.71,1.17,76
11.19,15.03,47.98,8.7,403.88,13.95,1.58,1.31,89
10.77,14.44,44.55,8.11,390.53,12.88,1.33,1.36,66
9.39,12.31,37.01,7.27,353.81,15.74,0.86,0.69,21
9.29,11.66,31.19,6.44,333.79,18.95,0.66,0.43,18
9.73,11.83,26.73,5.48,323.77,22.53,0.55,0.27,1
10.23,12.28,24.68,4.89,323.77,25.03,0.52,0.2,86
10.62,12.72,24.33,4.65,323.77,25.75,0.5,0.19,77
10.61,12.77,24.68,4.41,327.11,25.03,0.54,0.22,62
10.67,13.09,29.13,4.35,343.8,20.92,0.7,0.44,91
13.17,16.81,43.53,4.53,417.23,7.06,1.41,4.19,76
15.62,20.71,50.04,5.13,500.68,0.86,2.15,16.76,87
13.9,19.03,45.93,5.78,494.0,5.68,2.57,19.45,66
10.45,14.64,35.64,6.14,427.25,17.7,2.47,14.08,71
5.22,7.23,19.36,4.89,317.1,39.7,1.36,5.64,28
3.51,5.05,15.42,4.47,290.39,47.21,1.22,4.69,7
2.64,3.97,13.71,4.05,277.04,51.5,1.12,3.97,30
3.87,5.91,20.56,4.77,310.42,45.42,1.73,6.26,3
6.32,9.61,33.59,5.96,377.18,31.11,2.63,9.84,11
8.33,12.58,47.98,6.56,433.92,14.31,3.39,11.06,88
17.2,24.65,57.58,5.72,667.57,0.29,5.95,44.7,91
32.23,44.69,63.06,5.54,1014.71,0.0,8.61,101.03,169
53.57,72.67,75.4,6.91,1401.9,0.0,13.17,153.78,202
79.04,105.59,87.05,9.3,1789.09,0.0,20.27,203.85,242
91.82,123.02,90.48,10.01,1922.61,0.0,22.04,218.15,211
95.33,129.32,87.74,9.42,1922.61,0.0,21.28,214.58,202
95.36,130.75,81.57,8.94,1895.9,0.0,19.0,211.0,217
93.22,127.22,77.46,8.7,1869.2,0.0,13.68,209.21,215
105.71,140.63,80.88,9.78,2029.42,0.0,10.89,236.03,249
128.51,165.78,89.11,10.97,2349.85,0.0,9.88,286.1,204
139.32,178.02,91.85,9.89,2510.07,0.0,7.09,311.14,210
127.03,163.88,87.74,8.82,2349.85,0.0,5.19,282.53,222
97.19,127.97,74.71,8.23,1922.61,0.0,4.05,216.37,201
70.11,92.48,61.01,7.87,1482.01,0.0,3.61,151.99,220
66.08,84.95,54.84,7.99,1388.55,0.0,5.13,137.69,220
73.91,92.78,58.95,8.7,1495.36,0.08,5.89,155.57,213
76.63,95.03,63.06,10.13,1495.36,1.7,5.51,159.14,246
65.66,80.8,63.75,14.19,1228.33,5.9,4.81,121.59,221
41.18,49.8,59.63,19.55,720.98,19.31,2.44,49.17,172
35.43,43.0,55.52,19.55,614.17,26.46,2.44,37.1,158
30.65,37.18,51.41,19.07,540.73,30.04,2.44,29.06,191
31.39,37.97,57.58,14.19,580.79,20.56,3.45,30.4,161
38.7,47.56,68.55,11.44,761.03,8.05,5.32,50.52,165
